Date,Open,High,Low,Close,Adj Close,Volume,open_moving_avg_50
2008-11-05,4.811667,4.899167,4.176667,4.25,3.333489,229200,
2008-11-06,4.15,4.1975,3.5525,3.6,2.823661,4332000,
2008-11-07,3.7075,3.8875,3.611667,3.854167,3.023017,6978000,
2008-11-10,4.15,4.161667,3.584167,3.704167,2.905364,5785200,
2008-11-11,3.541667,3.6875,3.291667,3.459167,2.713199,11479200,
2008-11-12,3.3275,3.3275,3.0175,3.074167,2.411224,13312800,
2008-11-13,3.051667,3.533333,2.564167,3.518333,2.759605,32067600,
2008-11-14,3.270833,3.583333,3.041667,3.0675,2.405995,34303200,
2008-11-17,2.956667,3.170833,2.833333,2.850833,2.236051,44524800,
2008-11-18,2.836667,2.995,2.595833,2.876667,2.256315,61130400,
2008-11-19,2.875,2.970833,2.366667,2.413333,1.892898,75193200,
2008-11-20,2.324167,2.4975,1.846667,1.996667,1.566086,137044800,
2008-11-21,2.266667,2.27,1.805833,2.2225,1.743219,124576800,
2008-11-24,2.371667,2.7975,2.316667,2.5975,2.03735,98185200,
2008-11-25,2.834167,2.845833,2.525,2.7425,2.151081,80054400,
2008-11-26,2.5875,3.045,2.575833,3.028333,2.375274,61237200,
2008-11-28,2.991667,3.125,2.979167,3.118333,2.445865,21645600,
2008-12-01,2.8725,2.881667,2.281667,2.308333,1.810542,101854800,
2008-12-02,2.423333,2.573333,2.31,2.5525,2.002055,109262400,
2008-12-03,2.388333,2.786667,2.366667,2.744167,2.152389,136166400,
2008-12-04,2.645833,2.825833,2.403333,2.525,1.980485,109459200,
2008-12-05,2.415,2.816667,2.283333,2.781667,2.181802,167187600,
2008-12-08,3.033333,3.206667,2.974167,3.091667,2.42495,142784400,
2008-12-09,3.0125,3.204167,2.879167,2.9175,2.288342,126266400,
2008-12-10,3.018333,3.119167,2.895833,3.009167,2.360241,125726400,
2008-12-11,2.954167,3.0975,2.721667,2.786667,2.185723,113610000,
2008-12-12,2.543333,2.885,2.516667,2.860833,2.243895,142026000,
2008-12-15,2.903333,2.916667,2.630833,2.738333,2.147812,91215600,
2008-12-16,2.819167,3.1575,2.810833,3.155833,2.475279,121978800,
2008-12-17,3.050833,3.229167,2.984167,3.075,2.416088,118600800,
2008-12-18,3.119167,3.140833,2.796667,2.905,2.282516,94359600,
2008-12-19,2.9425,3.075833,2.858333,2.899167,2.277933,97183200,
2008-12-22,2.91,2.916667,2.603333,2.766667,2.173825,76341600,
2008-12-23,2.798333,2.835833,2.648333,2.679167,2.105074,68952000,
2008-12-24,2.713333,2.736667,2.656667,2.710833,2.129955,17952000,
2008-12-26,2.7725,2.778333,2.705,2.7675,2.174479,19194000,
2008-12-29,2.7875,2.7875,2.62,2.75,2.160729,46562400,
2008-12-30,2.795833,2.935833,2.754167,2.9325,2.304123,57126000,
2008-12-31,2.944167,3.128333,2.926667,3.0325,2.382695,65361600,
2009-01-02,3.09,3.385,3.025,3.329167,2.615792,87174000,
2009-01-05,3.291667,3.428333,3.224167,3.329167,2.615792,111709200,
2009-01-06,3.419167,3.508333,3.3225,3.41,2.679304,119607600,
2009-01-07,3.230833,3.280833,3.045833,3.123333,2.454065,116395200,
2009-01-08,3.051667,3.155,3.009167,3.155,2.478945,104341200,
2009-01-09,3.175833,3.185833,2.925,2.9475,2.315909,114417600,
2009-01-12,2.919167,2.928333,2.679167,2.733333,2.147634,85770000,
2009-01-13,2.703333,2.808333,2.661667,2.744167,2.156146,123522000,
2009-01-14,2.6075,2.6225,2.43,2.475833,1.945311,158102400,
2009-01-15,2.46,2.576667,2.256667,2.508333,1.970847,200223600,
2009-01-16,2.631667,2.641667,2.385,2.558333,2.010132,209690400,2.96998336
2009-01-20,2.484167,2.505,2.144167,2.1625,1.699119,207566400,2.92343336
2009-01-21,2.263333,2.435,2.141667,2.424167,1.904716,180774000,2.88570002
2009-01-22,2.285,2.421667,2.175833,2.3025,1.809119,200959200,2.8572500200000004
2009-01-23,2.145,2.415,2.125,2.345,1.842513,213451200,2.81715002
2009-01-26,2.3875,2.536667,2.315833,2.370833,1.86281,203494800,2.79406668
2009-01-27,2.42,2.5075,2.375,2.460833,1.933526,165728400,2.7759166800000004
2009-01-28,2.625833,2.7525,2.594167,2.68,2.105729,189104400,2.7674000000000003
2009-01-29,2.579167,2.604167,2.434167,2.446667,1.922395,157486800,2.75356668
2009-01-30,2.478333,2.51,2.244167,2.293333,1.801916,200570400,2.7439999999999998
2009-02-02,2.1875,2.318333,2.166667,2.275833,1.788167,156507600,2.73101666
2009-02-03,2.320833,2.413333,2.241667,2.360833,1.854953,160300800,2.71993332
2009-02-04,2.408333,2.5,2.3125,2.3275,1.828763,184461600,2.72161664
2009-02-05,2.279167,2.500833,2.235833,2.451667,1.926323,242638800,2.72186664
2009-02-06,2.480833,2.6875,2.466667,2.651667,2.083467,174416400,2.72404996
